City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
1,Belmonte,BR,78.8,few clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
5,Albany,US,82.35,broken clouds,42.6001,-73.9662,
12,Aguimes,ES,79.66,few clouds,27.9054,-15.4461,Hotel Villa de Aguimes
13,Sinnamary,GF,83.25,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
19,Hambantota,LK,79.95,overcast clouds,6.1241,81.1185,Bungalow 63
23,Soure,BR,82.04,few clouds,-0.7167,-48.5233,Casarão da Amazônia
24,Jamestown,US,77.29,few clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
27,Nouadhibou,MR,82.38,clear sky,20.931,-17.0347,El Medina
35,Caravelas,BR,76.32,few clouds,-17.7125,-39.2481,Pousada dos Navegantes
40,Victoria,HK,82.96,overcast clouds,22.2855,114.1577,Mini Hotel Central
45,Butaritari,KI,81.68,moderate rain,3.0707,172.7902,Isles Sunset Lodge
47,Ismailia,EG,82.65,clear sky,30.6043,32.2723,Mercure Ismailia Forsan Island Hotel
51,Aktau,KZ,77.58,clear sky,43.65,51.2,Silk Way Hotel
54,Vila Velha,BR,80.55,few clouds,-20.3297,-40.2925,Quality Suites Vila Velha
64,Bara,NG,85.78,light rain,10.3744,10.7288,
70,Merauke,ID,76.89,overcast clouds,-8.4667,140.3333,
73,Georgetown,MY,82.33,few clouds,5.4112,100.3354,Cititel Penang
75,Puerto Ayora,EC,76.96,overcast clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
76,Hilo,US,76.62,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
77,Faanui,PF,78.31,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
80,Garowe,SO,87.82,broken clouds,8.4054,48.4845,Curubo Hotel
81,Keti Bandar,PK,79.99,overcast clouds,24.1447,67.4497,Haji laloo memon house
82,Hithadhoo,MV,82.83,broken clouds,-0.6,73.0833,Scoop Guest House
83,Lompoc,US,84.22,scattered clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
84,Saint-Georges,GD,83.88,broken clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
85,Hobyo,SO,77.41,scattered clouds,5.3505,48.5268,Halane Hotel and Restaurent
86,Consolacion Del Sur,CU,89.65,scattered clouds,22.5047,-83.5136,Cuarto de alquiler
92,Kapaa,US,79.12,light rain,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
93,Kushima,JP,79.43,heavy intensity rain,31.4583,131.2333,Hanaoka
96,Bago,MM,80.73,moderate rain,17.3367,96.4797,Jade Garden
97,Akyab,MM,81.21,overcast clouds,20.15,92.9,Hotel Memory
98,Trairi,BR,84.7,few clouds,-3.2778,-39.2689,janelas do mar
100,Faya,SA,81.12,broken clouds,18.3851,42.4509,املاك خالد الشعشوع
102,Torbay,CA,78.89,light rain,47.6666,-52.7314,Gallows Cove
104,Ocho Rios,JM,89.35,scattered clouds,18.4025,-77.1048,Rooms Ocho Rios Hotel
105,Bonavista,CA,80.6,overcast clouds,48.6499,-53.1147,Abbott's Bed & Breakfast
108,Ponta Do Sol,PT,82.71,overcast clouds,32.6667,-17.1,Hotel do Campo
113,Broome,US,76.8,overcast clouds,42.2506,-75.833,Chenango Valley State Park
115,Shaunavon,CA,83.98,clear sky,49.6501,-108.4181,Bear's Den Lodge
117,Utica,US,78.78,broken clouds,43.1009,-75.2327,Days Inn by Wyndham Utica
118,Carutapera,BR,83.37,broken clouds,-1.195,-46.02,Lidera
119,Hami,CN,89.8,broken clouds,42.8,93.45,Laoyutang Resort
120,Kandrian,PG,77.36,broken clouds,-6.2167,149.55,Kandrian Station
122,Bardiyah,LY,80.6,clear sky,31.7561,25.0865,بورتو بردية
124,Atuona,PF,78.08,scattered clouds,-9.8,-139.0333,Villa Enata
130,Axim,GH,77.18,clear sky,4.8699,-2.2405,Axim Beach Resort And Spa
133,El Espinal,MX,87.13,few clouds,16.3333,-94.0667,
135,Vannes,FR,81.86,clear sky,47.8333,-2.5,Le Bolloch Françoise
142,Kailua,US,78.78,few clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
143,Manggar,ID,80.15,overcast clouds,-2.8833,108.2667,Guest Hotel
144,Wanlaweyn,SO,76.15,overcast clouds,2.6185,44.8938,GAASHAAN HOME
148,Murgab,TM,78.67,clear sky,37.4966,61.9714,
154,Yabrud,SY,76.66,clear sky,33.9674,36.6574,المنزل
159,Ribeira Grande,PT,79.2,few clouds,38.5167,-28.7,Quinta da Meia Eira
161,Olinda,BR,76.73,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
165,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
175,Ponta Delgada,PT,75.92,broken clouds,37.7333,-25.6667,Vila Nova Hotel
176,Port Moresby,PG,76.42,few clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
177,Tezu,IN,75.38,overcast clouds,27.9167,96.1667,Circuit House
179,Vallenar,CL,75.97,few clouds,-28.5708,-70.7581,Humacao Bed & Breakfast
180,Naze,JP,78.21,overcast clouds,28.3667,129.4833,オーベルジュ・アガルイ
181,Acapulco,MX,86.43,broken clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
184,Kloulklubed,PW,83.28,moderate rain,7.0419,134.2556,Storyboard Beach Resort
185,The Valley,AI,89.46,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
186,Beyneu,KZ,79.92,clear sky,45.3167,55.2,NUR
187,Banda Aceh,ID,77.45,overcast clouds,5.5577,95.3222,Sulthan Hotel International
195,Cap-Aux-Meules,CA,80.65,clear sky,47.3821,-61.8597,Auberge Madeli
203,Sao Filipe,CV,75.54,broken clouds,14.8961,-24.4956,Hotel Xaguate
209,Kurtalan,TR,84.42,clear sky,37.9272,41.7028,Kurtalan Öğretmenevi ve Akşam Sanat Okulu
210,Oil City,US,79.14,clear sky,41.4339,-79.7064,Days Inn by Wyndham Oil City Conference Center
212,San Jose,US,87.53,few clouds,37.3394,-121.895,The Westin San Jose
216,Caucaia,BR,87.75,few clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
220,Cortland,US,77.14,scattered clouds,42.6001,-76.083,Cortland Motel
221,San Andres,CO,82.67,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
226,Hamilton,US,84.25,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
228,Samarai,PG,77.85,broken clouds,-10.6167,150.6667,Nuli Sapi
230,Bacolod,PH,77.86,scattered clouds,10.6667,122.95,Planta Hotel & Residences
231,Dabakala,CI,78.28,overcast clouds,8.3667,-4.4333,Hôtel Campement
234,Huanuco,PE,77.14,broken clouds,-9.9329,-76.2415,Sweet Dreams
235,Kota Kinabalu,MY,78.78,few clouds,5.9749,116.0724,Gaya Centre Hotel
236,Bethel,US,87.93,few clouds,41.3712,-73.414,Courtyard by Marriott Danbury
237,Harper,LR,78.01,scattered clouds,4.375,-7.7169,Screensaver
238,Dingle,PH,75.81,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
239,Surt,LY,82.98,clear sky,31.2089,16.5887,الهادي ابوشعاله سرت
242,Lorengau,PG,81.19,broken clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
246,Mattru,SL,76.8,overcast clouds,7.6244,-11.8332,"Mondkor Town, Bagbo Chiefdom, Bo District"
249,Shellbrook,CA,78.03,few clouds,53.2168,-106.4011,Shellbrook Hotel
251,Basco,PH,84.13,clear sky,20.4487,121.9702,Nathaniel's Lodge
252,Roma,US,78.94,few clouds,43.2128,-75.4557,Wingate By Wyndham Rome
253,Eschwege,DE,79.95,clear sky,51.1833,10.0667,Altstadtgasthof Zur Krone
255,Sola,VU,77.13,overcast clouds,-13.8833,167.55,Leumerus Bungalows
257,Banjarmasin,ID,75.34,overcast clouds,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
259,Juazeiro,BR,86.18,few clouds,-9.4117,-40.4986,JB Hotel
261,Great Bend,US,84.88,broken clouds,38.3645,-98.7648,Best Western Angus Inn
262,Ullal,IN,76.15,mist,12.8,74.85,AK INTERNATIONAL LODGE
263,La Ronge,CA,75.45,broken clouds,55.1001,-105.2842,Northland Motor Hotel
265,Salalah,OM,75.79,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
270,Cururupu,BR,83.34,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
271,Conakry,GN,78.87,heavy intensity rain,9.538,-13.6773,Riviera Royal Hotel
278,Buala,SB,80.46,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
280,Veraval,IN,80.44,overcast clouds,20.9,70.3667,Lords Inn Somnath
283,Vila Franca Do Campo,PT,75.61,few clouds,37.7167,-25.4333,Pestana Bahia Praia
284,Dakar,SN,88.68,few clouds,14.6937,-17.4441,Redface Studios Meublés
286,Ambikapur,IN,79.34,overcast clouds,23.1167,83.2,STARiHOTEL Ambikapur
291,Ardmore,US,75.52,light rain,34.1743,-97.1436,"Motel 6 Ardmore, OK"
292,Sarakhs,IR,84.34,clear sky,36.5449,61.1577,مهمان سرای شرکت گاز
294,Tual,ID,79.68,broken clouds,-5.6667,132.75,Grand Vilia Hotel
297,Guerrero Negro,MX,81.37,few clouds,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
298,Marsa Matruh,EG,80.8,scattered clouds,31.3525,27.2453,Beau Site
300,Shahi,IN,85.17,scattered clouds,28.55,79.3167,azhari gest House
