City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Hilo,US,19.7297,-155.09,80.33,71,20,9.22,light rain
1,Vanimo,PG,-2.6741,141.3028,77.13,90,67,6.82,broken clouds
2,Kimbe,PG,-5.5502,150.1429,74.23,92,11,3.85,few clouds
3,Ruidoso,US,33.3317,-105.673,63.1,94,90,11.5,overcast clouds
4,Qaanaaq,GL,77.484,-69.3632,40.23,98,100,4.88,light rain
5,Luderitz,NA,-26.6481,15.1594,63.14,37,0,14.47,clear sky
6,Bethel,US,41.3712,-73.414,90.68,68,20,1.99,few clouds
7,Busselton,AU,-33.65,115.3333,42.08,88,0,7.16,clear sky
8,Coquimbo,CL,-29.9533,-71.3436,56.93,71,40,12.66,scattered clouds
9,Kaeo,NZ,-35.1,173.7833,49.32,92,2,4.7,clear sky
10,Atambua,ID,-9.1061,124.8925,68.34,87,7,5.68,clear sky
11,Naryan-Mar,RU,67.6713,53.087,50.56,91,100,22.64,overcast clouds
12,Narsaq,GL,60.9167,-46.05,52.02,82,100,2.93,light rain
13,Saldanha,ZA,-33.0117,17.9442,48.25,66,0,8.57,clear sky
14,Bluff,NZ,-46.6,168.3333,42.8,82,99,22.64,overcast clouds
15,Mataura,NZ,-46.1927,168.8643,42.48,86,71,5.61,broken clouds
16,Kavieng,PG,-2.5744,150.7967,82.33,78,9,15.01,light rain
17,Ushirombo,TZ,-3.4919,31.9639,75.7,36,91,0.78,overcast clouds
18,Flinders,AU,-34.5833,150.8552,50.05,85,18,1.01,few clouds
19,Punta Arenas,CL,-53.15,-70.9167,41.11,93,90,4.61,overcast clouds
20,Nikolskoye,RU,59.7035,30.7861,64.29,95,100,8.21,light rain
21,Albany,US,42.6001,-73.9662,81.14,50,36,1.99,scattered clouds
22,Hermanus,ZA,-34.4187,19.2345,54.9,83,0,11.95,clear sky
23,Norman Wells,CA,65.282,-126.8329,55.44,76,75,9.22,light rain
24,Vaini,TO,-21.2,-175.2,66.36,77,20,9.22,few clouds
25,Ostrovnoy,RU,68.0531,39.5131,45.03,90,7,3.18,clear sky
26,Carutapera,BR,-1.195,-46.02,80.56,83,91,7.58,overcast clouds
27,Suez,EG,29.9737,32.5263,81.21,60,0,11.7,clear sky
28,Tasiilaq,GL,65.6145,-37.6368,42.48,87,94,15.35,overcast clouds
29,Tuktoyaktuk,CA,69.4541,-133.0374,51.8,76,40,11.5,scattered clouds
30,Hithadhoo,MV,-0.6,73.0833,82.42,72,100,14.7,overcast clouds
31,Mandalgovi,MN,45.7625,106.2708,59.02,80,79,7.09,broken clouds
32,Puerto Ayora,EC,-0.7393,-90.3518,78.76,75,72,10.38,broken clouds
33,Ayan,RU,56.45,138.1667,63.99,77,13,3.89,few clouds
34,At-Bashi,KG,41.1702,75.8106,49.86,49,99,1.52,overcast clouds
35,Muli,MV,2.9167,73.5667,82.2,75,100,17.96,overcast clouds
