City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Ushuaia,AR,2021-08-04 03:34:43,-54.8,-68.3,40.66,70,75,5.75
1,Tiksi,RU,2021-08-04 03:34:43,71.6872,128.8694,45.23,71,61,10.63
2,Marfino,RU,2021-08-04 03:34:43,55.7028,37.3822,60.87,94,0,2.24
3,Rikitea,PF,2021-08-04 03:34:44,-23.1203,-134.9692,70.48,63,71,15.26
4,Severo-Kurilsk,RU,2021-08-04 03:34:44,50.6789,156.125,53.78,70,100,18.81
5,La Palma,US,2021-08-04 03:34:44,33.8464,-118.0467,91.35,64,1,4.0
6,Busselton,AU,2021-08-04 03:34:45,-33.65,115.3333,60.04,62,55,2.28
7,Hobart,AU,2021-08-04 03:30:09,-42.8794,147.3294,57.06,53,40,5.01
8,Farafangana,MG,2021-08-04 03:34:45,-22.8167,47.8333,67.08,80,98,9.1
9,Jacareacanga,BR,2021-08-04 03:34:45,-6.2222,-57.7528,74.52,51,45,0.54
10,Rayagada,IN,2021-08-04 03:34:46,19.1667,83.4167,88.68,57,96,11.07
11,Pacific Grove,US,2021-08-04 03:34:47,36.6177,-121.9166,66.2,88,75,3.0
12,Hithadhoo,MV,2021-08-04 03:34:48,-0.6,73.0833,82.08,75,100,8.05
13,Tuktoyaktuk,CA,2021-08-04 03:34:48,69.4541,-133.0374,53.6,58,1,11.5
14,Oktyabrskoye,RU,2021-08-04 03:34:48,43.0645,44.7417,75.45,60,5,3.49
15,Mogok,MM,2021-08-04 03:34:48,22.9167,96.5,70.3,96,93,1.3
16,Yellowknife,CA,2021-08-04 03:30:05,62.456,-114.3525,59.56,44,75,5.01
17,East London,ZA,2021-08-04 03:34:49,-33.0153,27.9116,67.33,28,0,5.37
18,Castro,BR,2021-08-04 03:30:21,-24.7911,-50.0119,42.35,95,29,4.43
19,Albany,US,2021-08-04 03:34:49,42.6001,-73.9662,62.56,87,100,2.91
20,Nesebar,BG,2021-08-04 03:34:50,42.7833,27.7333,70.68,83,40,3.62
21,Morondava,MG,2021-08-04 03:34:50,-20.2833,44.2833,66.94,60,0,9.71
22,Jamestown,US,2021-08-04 03:34:50,42.097,-79.2353,60.3,82,19,1.99
23,Ponta Do Sol,PT,2021-08-04 03:34:51,32.6667,-17.1,70.43,79,11,4.38
24,Chuy,UY,2021-08-04 03:34:51,-33.6971,-53.4616,47.41,93,29,2.26
25,Dikson,RU,2021-08-04 03:34:51,73.5069,80.5464,45.75,87,92,10.2
